feature,uci_mean,mimic_mean,abs_diff,mimic_missing_%
age,60.83389297658862,73.48608498836431,12.65219201177569,0.0
anaemia,0.431438127090301,0.4064522299085084,0.024985897181792616,0.0
diabetes,0.4180602006688963,0.3966017405719022,0.021458460096994147,0.0
high_blood_pressure,0.3511705685618729,0.7954349835825177,0.44426441502064484,0.0
platelets,263358.02926421404,220812.75644660907,42545.27281760497,4.437501992412892
serum_creatinine,1.3938795986622072,1.562203709213528,0.16832411055132068,3.5704039019414076
serum_sodium,136.62541806020067,138.69418168541935,2.068763625218679,3.952947177149415
sex,0.6488294314381271,0.5322770888456757,0.1165523425924514,0.0
smoking,0.3210702341137124,0.3627147821097262,0.0416445479960138,0.0
DEATH_EVENT (rate),0.3210702341137124,0.0949026108578533,0.2261676232558591,0.0
